Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.703 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.703 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.703 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.703 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.749 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: #033[0;37m11:26:19.810 #033[33mWARNI #033[0;34mnet/identi: #033[0merror reading identify message:  stream reset #033[0;37mid.go:146#033[0m
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.869 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.869 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.869 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.869 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: #033[0;37m11:26:19.883 #033[33mWARNI #033[0;34mnet/identi: #033[0merror reading identify message:  stream reset #033[0;37mid.go:146#033[0m
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: Jun 24 11:26:19.912 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:19 test-miner-229 go-filecoin[21195]: #033[0;37m11:26:19.934 #033[33mWARNI #033[0;34mnet/identi: #033[0merror reading identify message:  stream reset #033[0;37mid.go:146#033[0m
Jun 24 11:26:25 test-miner-229 go-filecoin[21195]: #033[0;37m11:26:25.021  INFO #033[0;34m    mining: #033[0mWorker.Mine #033[0;37mworker.go:176#033[0m
Jun 24 11:26:25 test-miner-229 go-filecoin[21195]: #033[0;37m11:26:25.819  INFO #033[0;34mchain.sync: #033[0mprocessing block 0 of 1 for chain with head at { zDPWYqFCuXrBor8fWGSnYQY9Wop4YUaEcCZvKqBT9AWfZ7femiid } #033[0;37mdefault_syncer.go:403#033[0m
Jun 24 11:26:33 test-miner-229 go-filecoin[21195]: #033[0;37m11:26:33.131  INFO #033[0;34m      node: #033[0mReceived new block from network cid: zDPWYqFCuMi73fxaySZitZsceuoPk21H8tkNuqrsER6Q8Qqe9Fcf height: 5429 #033[0;37mblock.go:56#033[0m
Jun 24 11:26:33 test-miner-229 go-filecoin[21195]: #033[0;37m11:26:33.199  INFO #033[0;34mchain.sync: #033[0mchain fetch from network complete { zDPWYqFCuMi73fxaySZitZsceuoPk21H8tkNuqrsER6Q8Qqe9Fcf } #033[0;37mdefault_syncer.go:130#033[0m
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.109 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.109 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.109 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.109 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.167 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.310 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.311 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.311 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.311 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.346 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.358 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.360 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.361 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.361 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.431 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.448 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.448 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.448 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.449 INFO got verifying key (268435456) while verifying seal, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:710 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.516 INFO verify_seal: finish, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:88 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.533 INFO verify_seal: start, target: FFI, root: filecoin-proofs, place: filecoin-proofs/src/api/mod.rs:47 filecoin_proofs::api
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.533 INFO trying parameters memory cache for: ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:77 filecoin_proofs::api::internal
Jun 24 11:26:38 test-miner-229 go-filecoin[21195]: Jun 24 11:26:38.533 INFO found params in memory cache for ZIGZAG[268435456]-verifying-key, target: params, root: filecoin-proofs, place: filecoin-proofs/src/api/internal.rs:82 filecoin_proofs::api::internal
